X,Y,Z
-23, 21,  0
-24, 22,  0
-25, 22,  0
-26, 22,  0
-27, 22,  0
-28, 22,  0
-29, 23,  0
-31, 23,  0
-32, 23,  0
-33, 23,  0
-34, 23,  0
-35, 24,  0
-39,  0,  0
 -6, 19,  0
-35, 25,  0
-39,  1,  0
-35, 26,  0
  1,  1,  0
-39,  2,  0
 -6, 20,  0
-35, 27,  0
-39,  3,  0
 -6, 21,  0
-36, 28,  0
  2,  3,  0
-40,  4,  0
 -5, 21,  0
-36, 29,  0
-40,  6,  0
 -5, 22,  0
-36, 30,  0
-40,  7,  0
 -5, 23,  0
-36, 31,  0
  3,  5,  0
-40,  8,  0
 -5, 24,  0
-36, 32,  0
  4,  6,  0
-41,  9,  0
 -4, 24,  0
-36, 33,  0
  4,  7,  0
-41, 11,  0
 -4, 25,  0
-36, 34,  0
-41, 12,  0
 -4, 26,  0
-36, 36,  0
  5,  8,  0
-42, 13,  0
 -4, 27,  0
-36, 37,  0
  6,  9,  0
-42, 15,  0
 -3, 28,  0
-37, 38,  0
  6, 10,  0
-42, 17,  0
 -3, 29,  0
-37, 40,  0
  7, 11,  0
-43, 18,  0
 -3, 30,  0
-37, 41,  0
  8, 12,  0
-43, 20,  0
 -2, 31,  0
-37, 43,  0
  8, 13,  0
-44, 22,  0
-37, 44,  0
-44, 24,  0
 -2, 32,  0
-37, 46,  0
 10, 15,  0
-45, 26,  0
 -1, 33,  0
-38, 47,  0
 10, 16,  0
-45, 29,  0
 -1, 34,  0
-38, 49,  0
 11, 17,  0
-46, 31,  0
 -1, 35,  0
-38, 51,  0
 12, 19,  0
-46, 34,  0
  0, 37,  0
-38, 53,  0
 13, 20,  0
-47, 37,  0
  0, 38,  0
-38, 55,  0
 14, 21,  0
-48, 40,  0
  0, 39,  0
-38, 57,  0
 15, 23,  0
-48, 43,  0
  0, 40,  0
-39, 59,  0
 16, 24,  0
-49, 47,  0
  0, 41,  0
-39, 61,  0
 17, 26,  0
-50, 51,  0
  1, 42,  0
-39, 63,  0
 18, 27,  0
-51, 55,  0
  1, 44,  0
-39, 65,  0
 19, 29,  0
-52, 60,  0
  2, 45,  0
-40, 68,  0
 20, 31,  0
-53, 65,  0
  2, 46,  0
-40, 70,  0
 21, 32,  0
 20, 33,  0
 19, 34,  0
 17, 34,  0
 16, 35,  0
 15, 36,  0
 13, 36,  0
 12, 37,  0
 10, 38,  0
  9, 38,  0
  7, 39,  0
  5, 40,  0
  4, 41,  0
  2, 42,  0
  0, 43,  0
 -1, 44,  0
 -3, 45,  0
 -6, 46,  0
 -8, 47,  0
-10, 49,  0
-13, 50,  0
-16, 51,  0
-19, 53,  0
-22, 54,  0
-25, 56,  0
-28, 58,  0
-32, 60,  0
-36, 62,  0
-40, 64,  0
-45, 66,  0
-49, 68,  0
-55, 71,  0
-54, 71,  0
-53, 71,  0
 18, 35,  0
-52, 71,  0
 17, 35,  0
-51, 71,  0
 17, 36,  0
-50, 72,  0
 16, 37,  0
 15, 37,  0
-49, 72,  0
 14, 38,  0
-48, 72,  0
 13, 39,  0
-47, 72,  0
 12, 39,  0
 12, 40,  0
-46, 72,  0
 11, 41,  0
-45, 72,  0
 10, 42,  0
  9, 42,  0
-44, 72,  0
  8, 43,  0
-44, 73,  0
-43, 73,  0
  7, 44,  0
  6, 45,  0
-42, 73,  0
  5, 46,  0
-41, 73,  0
  4, 46,  0
  4, 47,  0
  3, 47,  0
-40, 73,  0
  3, 48,  0
  2, 48,  0
  1, 49,  0
  0, 49,  0
  0, 50,  0
 -1, 51,  0
 -2, 51,  0
 -3, 52,  0
 -4, 52,  0
 -6, 53,  0
 -7, 54,  0
 -8, 54,  0
 -9, 55,  0
-10, 56,  0
-12, 57,  0
-13, 57,  0
-14, 58,  0
-16, 59,  0
-17, 60,  0
-19, 61,  0
-20, 62,  0
-22, 62,  0
-23, 63,  0
-25, 64,  0
-27, 65,  0
-28, 66,  0
-30, 67,  0
-32, 68,  0
-34, 70,  0
-36, 71,  0
-38, 72,  0
